sid,title,artists,album,duration_ms,acousticness,danceability,energy,loudness,valence,tempo
3omXshBamrREltcf24gYDC,First,Cold War Kids,Hold My Home,200360,0.0202,0.468,0.692,-4.015,0.561,78.009
2kQ4zlRlNatwhsNsJYCC99,Broken Monitors,B. Fleischmann,The Humbucking Coil,428867,0.889,0.682,0.439,-11.676,0.265,120.048
